id,ecoregion_name,biome,realm,ecoregion_area,area_protected,percent_protected
11208,Naracoorte woodlands,"Mediterranean Forests, Woodlands & Scrub",Australasia,27570.29179,2773.718271,10.1%
80437,Sichuan Basin evergreen broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,98335.88987,3690.6365229999997,3.8%
50606,Eastern Canadian Shield taiga,Boreal Forests/Taiga,Nearctic,755527.1332,26531.43754,3.5%
81318,Kazakh semi-desert,Deserts & Xeric Shrublands,Palearctic,679943.7364,7619.337233,1.1%
60124,Guianan Highlands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,146932.6409,104117.7214,70.9%
30109,Eastern Arc forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,23709.93681,4398.716496,18.6%
50201,Sonoran-Sinaloan transition subtropical dry forest,Tropical & Subtropical Dry Broadleaf Forests,Nearctic,51094.66242,2033.511425,4.0%
81102,Bering tundra,Tundra,Palearctic,475306.5265,43618.316380000004,9.2%
40212,Sri Lanka dry-zone dry evergreen forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,48525.83698,17774.41581,36.6%
80904,Nile Delta flooded savanna,Flooded Grasslands & Savannas,Palearctic,51138.26878,301.6725973,0.6%
50506,British Columbia mainland coastal forests,Temperate Conifer Forests,Nearctic,137530.3971,33965.812439999994,24.7%
50522,Okanagan dry forests,Temperate Conifer Forests,Nearctic,53438.0016,1654.973571,3.1%
81109,Novosibirsk Islands arctic desert,Tundra,Palearctic,37031.7349,37027.99483,100.0%
40153,Southwest Borneo freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,36849.30299,4345.0227939999995,11.8%
81218,South Appenine mixed montane forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,13112.272840000001,6016.276172,45.9%
10702,Brigalow tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,343069.9647,13486.084009999999,3.9%
40110,Christmas and Cocos Islands tropical forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,134.8055449,12.73672065,9.4%
80408,Caucasus mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,170663.1568,30607.07809,17.9%
80812,Middle East steppe,"Temperate Grasslands, Savannas & Shrublands",Palearctic,132589.3954,1188.3191769999999,0.9%
50507,Cascade Mountains leeward forests,Temperate Conifer Forests,Nearctic,46399.20319,13197.37201,28.4%
40143,Palawan rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,14368.77816,11733.846759999999,81.7%
30125,Northern Zanzibar-Inhambane coastal forest mosaic,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,112893.439,23313.80413,20.7%
81101,Arctic desert,Tundra,Palearctic,161815.3142,60701.43023,37.5%
60170,Tocantins/Pindare moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,194056.1438,36993.86323,19.1%
30116,KwaZulu-Cape coastal forest mosaic,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,17836.0723,566.1380738,3.2%
80431,Pannonian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,307594.9464,65151.73307,21.2%
60307,Sierra de la Laguna pine-oak forests,Tropical & Subtropical Coniferous Forests,Neotropics,1065.9610050000001,671.4573119,63.0%
51202,California interior chaparral and woodlands,"Mediterranean Forests, Woodlands & Scrub",Nearctic,64732.42435,5381.243985,8.3%
11205,Swan Coastal Plain Scrub and Woodlands,"Mediterranean Forests, Woodlands & Scrub",Australasia,15258.941630000001,1956.992241,12.8%
50610,Muskwa-Slave Lake forests,Boreal Forests/Taiga,Nearctic,262908.1429,23922.092959999998,9.1%
40126,Meghalaya subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,41804.00968,456.69234819999997,1.1%
61406,Southern Atlantic mangroves,Mangroves,Neotropics,10080.29992,2650.963307,26.3%
50521,Northern transitional alpine forests,Temperate Conifer Forests,Nearctic,25717.80113,1259.091914,4.9%
40304,Sumatran tropical pine forests,Tropical & Subtropical Coniferous Forests,IndoMalay,2766.369802,1092.849226,39.5%
61303,Atacama desert,Deserts & Xeric Shrublands,Neotropics,105405.9994,1701.203122,1.6%
50526,Sierra Juarez and San Pedro Martir pine-oak forests,Temperate Conifer Forests,Nearctic,4014.070714,683.4293887,17.0%
60148,Pantanos de Centla,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,17246.00266,5657.105807,32.8%
30104,Central Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,415656.9706,82757.18047,19.9%
60152,Pernambuco interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,22741.86836,701.3256745,3.1%
60224,Panamanian dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,5120.331288,73.67222779,1.4%
40112,Eastern Java-Bali montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,15931.771830000002,1528.870876,9.6%
10102,Banda Sea Islands moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,7544.593186,989.0368793,13.1%
80519,Sayan montane conifer forests,Temperate Conifer Forests,Palearctic,358213.1508,65964.14022,18.4%
80436,Sarmatic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,848070.5697,84828.52397000001,10.0%
10204,Timor and Wetar deciduous forests,Tropical & Subtropical Dry Broadleaf Forests,Australasia,33595.40894,2376.34409,7.1%
70702,Hawaii tropical low shrublands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Oceania,1525.179877,155.25934980000002,10.2%
40502,Western Himalayan subalpine conifer forests,Temperate Conifer Forests,IndoMalay,39764.42592,3431.009895,8.6%
11201,Coolgardie woodlands,"Mediterranean Forests, Woodlands & Scrub",Australasia,137681.2258,14937.221090000001,10.8%
40101,Andaman Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,5730.508158,338.497406,5.9%
80404,Balkan mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,224875.6972,36814.98378,16.4%
81014,Pamir alpine desert and tundra,Montane Grasslands & Shrublands,Palearctic,118222.464,25468.572630000002,21.5%
10117,Queensland tropical rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,32767.78061,13490.483209999999,41.2%
80608,Scandinavian and Russian taiga,Boreal Forests/Taiga,Palearctic,2161975.901,178002.3137,8.2%
40125,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,545.5457144999999,78.20978423,14.3%
60801,Espinal,"Temperate Grasslands, Savannas & Shrublands",Neotropics,299481.9328,4860.050742,1.6%
81011,North Tibetan Plateau-Kunlun Mountains alpine desert,Montane Grasslands & Shrublands,Palearctic,375267.0026,239528.98,63.8%
50504,Atlantic coastal pine barrens,Temperate Conifer Forests,Nearctic,8984.990096,2693.011928,30.0%
31313,Masai xeric grasslands and shrublands,Deserts & Xeric Shrublands,Afrotropics,101179.1103,6832.983151,6.8%
30711,Northern Acacia-Commiphora bushlands and thickets,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,326658.4841,64281.90102999999,19.7%
60134,Leeward Islands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,991.9919067,756.6681354,76.3%
30113,Granitic Seychelles forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,311.7414381,37.70410338,12.1%
30907,Zambezian flooded grasslands,Flooded Grasslands & Savannas,Afrotropics,153788.7218,99140.22506,64.5%
60166,Southwest Amazon moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,751378.9523,342909.9318,45.6%
80606,Okhotsk-Manchurian taiga,Boreal Forests/Taiga,Palearctic,402909.3258,32589.817560000003,8.1%
30718,Southern Congolian forest-savanna mosaic,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,570928.4027,19973.19302,3.5%
50810,Northern mixed grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,219440.8634,11337.27582,5.2%
80419,East European forest steppe,Temperate Broadleaf & Mixed Forests,Palearctic,728841.7474,36070.085289999995,4.9%
80410,Central Anatolian steppe and woodlands,Temperate Broadleaf & Mixed Forests,Palearctic,101640.8862,383.3236126,0.4%
40210,Southeastern Indochina dry evergreen forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,124530.4394,28272.643780000002,22.7%
40138,Northern Khorat Plateau moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,16886.01134,379.547123,2.2%
81108,Northwest Russian-Novaya Zemlya tundra,Tundra,Palearctic,284899.1155,19843.45466,7.0%
10709,Victoria Plains tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,226131.1204,16270.497669999999,7.2%
70109,Ogasawara subtropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,96.64214932,73.4185713,76.0%
81317,Junggar Basin semi-desert,Deserts & Xeric Shrublands,Palearctic,304897.6035,32542.340669999998,10.7%
80425,Madeira evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,816.5105256,484.50726629999997,59.3%
41405,Sunda Shelf mangroves,Mangroves,IndoMalay,37529.48005,6068.466082,16.2%
60158,Rio Negro campinarana,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,96631.80623,51427.69963,53.2%
30701,Angolan Miombo woodlands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,661519.6897,35566.56475,5.4%
80602,Iceland boreal birch forests and alpine tundra,Boreal Forests/Taiga,Palearctic,91680.6827,10691.7304,11.7%
80605,Northeast Siberian taiga,Boreal Forests/Taiga,Palearctic,1128414.915,120828.8657,10.7%
61314,San Lucan xeric scrub,Deserts & Xeric Shrublands,Neotropics,3884.956681,635.2138841,16.4%
41402,Indochina mangroves,Mangroves,IndoMalay,26928.99161,1671.8040310000001,6.2%
50809,Nebraska Sand Hills mixed grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,61255.46399,1112.1312380000002,1.8%
